latitude,longitude,Dsecond
296238809.0,-823381678.0,23500.0
296238809.0,-823381679.0,23600.0
296238809.0,-823381679.0,23700.0
296238809.0,-823381679.0,23800.0
296238805.0,-823381677.0,23900.0
296238805.0,-823381677.0,24000.0
296238805.0,-823381677.0,24100.0
296238805.0,-823381677.0,24200.0
296238805.0,-823381677.0,24300.0
296238801.0,-823381675.0,24400.0
296238801.0,-823381675.0,24500.0
296238801.0,-823381675.0,24600.0
296238801.0,-823381675.0,24700.0
296238801.0,-823381676.0,24800.0
296238797.0,-823381674.0,24900.0
296238797.0,-823381674.0,25000.0
296238797.0,-823381675.0,25100.0
296238797.0,-823381675.0,25200.0
296238797.0,-823381675.0,25300.0
296238792.0,-823381674.0,25400.0
296238792.0,-823381675.0,25600.0
296238792.0,-823381675.0,25700.0
296238792.0,-823381676.0,25800.0
296238788.0,-823381674.0,25850.0
296238788.0,-823381674.0,25950.0
296238788.0,-823381674.0,26100.0
296238788.0,-823381675.0,26200.0
296238788.0,-823381675.0,26300.0
296238784.0,-823381672.0,26350.0
296238784.0,-823381672.0,26500.0
296238784.0,-823381672.0,26600.0
296238784.0,-823381672.0,26700.0
296238784.0,-823381672.0,26800.0
296238781.0,-823381670.0,26850.0
296238781.0,-823381671.0,27000.0
296238781.0,-823381671.0,27100.0
296238781.0,-823381671.0,27200.0
296238781.0,-823381671.0,27300.0
296238778.0,-823381669.0,27400.0
296238778.0,-823381669.0,27500.0
296238778.0,-823381669.0,27600.0
296238778.0,-823381669.0,27700.0
296238778.0,-823381669.0,27800.0
296238775.0,-823381669.0,27850.0
296238776.0,-823381669.0,28000.0
296238776.0,-823381669.0,28100.0
296238776.0,-823381669.0,28200.0
296238772.0,-823381668.0,28300.0
296238772.0,-823381668.0,28400.0
296238772.0,-823381668.0,28500.0
296238772.0,-823381669.0,28600.0
296238772.0,-823381669.0,28700.0
296238772.0,-823381669.0,28800.0
296238769.0,-823381667.0,28850.0
296238769.0,-823381667.0,29000.0
296238769.0,-823381667.0,29050.0
296238769.0,-823381667.0,29200.0
296238769.0,-823381667.0,29250.0
296238765.0,-823381668.0,29350.0
296238765.0,-823381668.0,29450.0
296238765.0,-823381668.0,29550.0
296238765.0,-823381669.0,29700.0
296238765.0,-823381669.0,29800.0
296238760.0,-823381669.0,29900.0
296238760.0,-823381669.0,30000.0
296238760.0,-823381669.0,30100.0
296238760.0,-823381669.0,30200.0
296238760.0,-823381669.0,30300.0
296238756.0,-823381670.0,30400.0
296238756.0,-823381670.0,30500.0
296238756.0,-823381670.0,30600.0
296238756.0,-823381670.0,30650.0
296238756.0,-823381671.0,30800.0
296238752.0,-823381670.0,30900.0
296238752.0,-823381670.0,30950.0
296238752.0,-823381670.0,31100.0
296238752.0,-823381670.0,31150.0
296238752.0,-823381670.0,31300.0
296238746.0,-823381669.0,31400.0
296238746.0,-823381669.0,31500.0
296238746.0,-823381669.0,31600.0
296238746.0,-823381669.0,31700.0
296238746.0,-823381669.0,31750.0
296238742.0,-823381670.0,31900.0
296238743.0,-823381670.0,32000.0
296238743.0,-823381670.0,32100.0
296238743.0,-823381670.0,32300.0
296238738.0,-823381670.0,32400.0
296238738.0,-823381670.0,32500.0
296238738.0,-823381670.0,32550.0
296238738.0,-823381670.0,32700.0
296238737.0,-823381670.0,32800.0
296238733.0,-823381670.0,32850.0
296238733.0,-823381670.0,33000.0
296238733.0,-823381671.0,33100.0
296238733.0,-823381671.0,33200.0
296238733.0,-823381671.0,33300.0
296238729.0,-823381670.0,33400.0
296238729.0,-823381670.0,33500.0
296238729.0,-823381671.0,33600.0
296238729.0,-823381671.0,33700.0
296238729.0,-823381671.0,33800.0
296238724.0,-823381669.0,33900.0
296238724.0,-823381669.0,33950.0
296238724.0,-823381670.0,34100.0
296238724.0,-823381670.0,34200.0
296238724.0,-823381670.0,34300.0
296238719.0,-823381669.0,34400.0
296238719.0,-823381669.0,34450.0
296238719.0,-823381669.0,34600.0
296238719.0,-823381669.0,34650.0
296238719.0,-823381670.0,34800.0
296238715.0,-823381666.0,34850.0
296238715.0,-823381666.0,34950.0
296238715.0,-823381666.0,35050.0
296238715.0,-823381666.0,35150.0
296238714.0,-823381666.0,35300.0
296238711.0,-823381664.0,35400.0
296238711.0,-823381664.0,35500.0
296238711.0,-823381664.0,35550.0
296238711.0,-823381664.0,35700.0
296238711.0,-823381664.0,35800.0
296238707.0,-823381663.0,35900.0
296238707.0,-823381663.0,36000.0
296238707.0,-823381663.0,36050.0
296238707.0,-823381663.0,36200.0
296238707.0,-823381663.0,36250.0
296238703.0,-823381663.0,36400.0
296238703.0,-823381663.0,36500.0
296238703.0,-823381663.0,36550.0
296238703.0,-823381663.0,36650.0
296238704.0,-823381663.0,36800.0
296238700.0,-823381663.0,36900.0
296238700.0,-823381663.0,37000.0
296238700.0,-823381663.0,37100.0
296238700.0,-823381664.0,37200.0
296238697.0,-823381662.0,37350.0
296238697.0,-823381662.0,37500.0
296238697.0,-823381662.0,37550.0
296238697.0,-823381662.0,37700.0
296238697.0,-823381662.0,37750.0
296238694.0,-823381662.0,37900.0
296238694.0,-823381662.0,38000.0
296238694.0,-823381662.0,38100.0
296238694.0,-823381662.0,38200.0
296238694.0,-823381662.0,38300.0
296238691.0,-823381662.0,38400.0
296238691.0,-823381662.0,38500.0
296238691.0,-823381662.0,38550.0
296238691.0,-823381662.0,38700.0
296238691.0,-823381663.0,38800.0
296238688.0,-823381661.0,38900.0
296238688.0,-823381662.0,39000.0
296238688.0,-823381662.0,39050.0
296238688.0,-823381662.0,39200.0
296238688.0,-823381662.0,39300.0
296238686.0,-823381661.0,39350.0
296238686.0,-823381661.0,39450.0
296238686.0,-823381661.0,39600.0
296238686.0,-823381661.0,39650.0
296238686.0,-823381661.0,39800.0
296238683.0,-823381662.0,39900.0
296238683.0,-823381662.0,40000.0
296238683.0,-823381662.0,40100.0
296238683.0,-823381663.0,40200.0
296238683.0,-823381663.0,40300.0
296238680.0,-823381661.0,40400.0
296238680.0,-823381661.0,40500.0
296238680.0,-823381661.0,40600.0
296238680.0,-823381661.0,40800.0
296238678.0,-823381662.0,40850.0
296238678.0,-823381663.0,41000.0
296238678.0,-823381663.0,41100.0
296238678.0,-823381663.0,41200.0
296238678.0,-823381663.0,41300.0
296238676.0,-823381664.0,41350.0
296238676.0,-823381664.0,41450.0
296238676.0,-823381664.0,41600.0
296238677.0,-823381664.0,41700.0
296238677.0,-823381664.0,41800.0
296238674.0,-823381664.0,41850.0
296238674.0,-823381665.0,42000.0
296238674.0,-823381665.0,42100.0
296238674.0,-823381665.0,42150.0
296238674.0,-823381665.0,42250.0
296238672.0,-823381666.0,42350.0
296238672.0,-823381666.0,42500.0
296238672.0,-823381666.0,42550.0
296238672.0,-823381666.0,42700.0
296238672.0,-823381666.0,42800.0
296238670.0,-823381666.0,42900.0
296238670.0,-823381666.0,43050.0
296238671.0,-823381666.0,43200.0
296238671.0,-823381666.0,43300.0
296238669.0,-823381667.0,43350.0
296238669.0,-823381667.0,43500.0
296238669.0,-823381667.0,43550.0
296238669.0,-823381666.0,43650.0
296238669.0,-823381666.0,43800.0
296238667.0,-823381667.0,43900.0
296238667.0,-823381668.0,44000.0
296238667.0,-823381668.0,44100.0
296238667.0,-823381668.0,44200.0
296238667.0,-823381668.0,44300.0
296238666.0,-823381666.0,44400.0
296238666.0,-823381666.0,44500.0
296238666.0,-823381666.0,44600.0
296238666.0,-823381666.0,44700.0
296238666.0,-823381666.0,44800.0
296238664.0,-823381667.0,44850.0
296238664.0,-823381667.0,45000.0
296238664.0,-823381668.0,45100.0
296238665.0,-823381668.0,45200.0
296238665.0,-823381668.0,45300.0
296238664.0,-823381669.0,45400.0
296238664.0,-823381669.0,45500.0
296238664.0,-823381670.0,45600.0
296238664.0,-823381670.0,45700.0
296238664.0,-823381670.0,45800.0
296238663.0,-823381671.0,45900.0
296238663.0,-823381671.0,45950.0
296238663.0,-823381671.0,46100.0
296238663.0,-823381671.0,46200.0
296238663.0,-823381671.0,46300.0
296238662.0,-823381672.0,46350.0
296238662.0,-823381672.0,46500.0
296238662.0,-823381672.0,46600.0
296238662.0,-823381672.0,46650.0
296238662.0,-823381673.0,46800.0
296238662.0,-823381674.0,46850.0
296238662.0,-823381674.0,46950.0
296238663.0,-823381674.0,47100.0
296238663.0,-823381674.0,47200.0
296238663.0,-823381674.0,47250.0
296238662.0,-823381675.0,47350.0
296238662.0,-823381675.0,47450.0
296238662.0,-823381675.0,47550.0
296238662.0,-823381675.0,47700.0
296238662.0,-823381675.0,47800.0
296238661.0,-823381676.0,47900.0
296238661.0,-823381676.0,48000.0
296238661.0,-823381676.0,48100.0
296238661.0,-823381676.0,48200.0
296238661.0,-823381676.0,48300.0
296238660.0,-823381679.0,48400.0
296238660.0,-823381679.0,48500.0
296238660.0,-823381679.0,48600.0
296238660.0,-823381679.0,48700.0
296238660.0,-823381679.0,48800.0
296238659.0,-823381679.0,48850.0
296238659.0,-823381679.0,49000.0
296238659.0,-823381679.0,49100.0
296238659.0,-823381679.0,49200.0
296238659.0,-823381679.0,49300.0
296238660.0,-823381681.0,49400.0
296238660.0,-823381681.0,49500.0
296238660.0,-823381681.0,49600.0
296238660.0,-823381681.0,49700.0
296238660.0,-823381681.0,49800.0
296238660.0,-823381684.0,49900.0
296238660.0,-823381684.0,50050.0
296238660.0,-823381684.0,50200.0
296238660.0,-823381684.0,50300.0
296238659.0,-823381687.0,50400.0
296238659.0,-823381687.0,50450.0
296238659.0,-823381688.0,50600.0
296238659.0,-823381688.0,50700.0
296238659.0,-823381688.0,50750.0
296238659.0,-823381690.0,50900.0
296238659.0,-823381690.0,50950.0
296238660.0,-823381691.0,51050.0
296238660.0,-823381691.0,51200.0
296238660.0,-823381691.0,51250.0
296238660.0,-823381693.0,51350.0
296238660.0,-823381693.0,51450.0
296238660.0,-823381694.0,51600.0
296238660.0,-823381694.0,51700.0
296238660.0,-823381694.0,51800.0
296238660.0,-823381696.0,51850.0
296238660.0,-823381696.0,51950.0
296238660.0,-823381696.0,52100.0
296238660.0,-823381696.0,52200.0
296238660.0,-823381696.0,52250.0
296238661.0,-823381698.0,52400.0
296238661.0,-823381698.0,52500.0
296238661.0,-823381698.0,52600.0
296238661.0,-823381698.0,52700.0
296238661.0,-823381698.0,52800.0
296238662.0,-823381701.0,52900.0
296238662.0,-823381701.0,53000.0
296238662.0,-823381702.0,53100.0
296238662.0,-823381702.0,53200.0
296238663.0,-823381702.0,53300.0
296238663.0,-823381702.0,53350.0
296238663.0,-823381702.0,53500.0
296238663.0,-823381702.0,53600.0
296238663.0,-823381702.0,53650.0
296238663.0,-823381702.0,53800.0
296238665.0,-823381705.0,53900.0
296238665.0,-823381706.0,53950.0
296238665.0,-823381706.0,54050.0
296238665.0,-823381706.0,54200.0
296238665.0,-823381706.0,54300.0
296238666.0,-823381707.0,54350.0
296238666.0,-823381707.0,54450.0
296238666.0,-823381707.0,54700.0
296238666.0,-823381707.0,54800.0
296238667.0,-823381709.0,54900.0
296238667.0,-823381709.0,54950.0
296238667.0,-823381709.0,55050.0
296238667.0,-823381709.0,55200.0
296238667.0,-823381709.0,55300.0
296238667.0,-823381711.0,55350.0
296238667.0,-823381711.0,55500.0
296238667.0,-823381711.0,55550.0
296238667.0,-823381711.0,55650.0
296238667.0,-823381711.0,55800.0
296238669.0,-823381714.0,55850.0
296238669.0,-823381715.0,55950.0
296238669.0,-823381715.0,56100.0
296238669.0,-823381715.0,56200.0
296238669.0,-823381715.0,56300.0
296238670.0,-823381715.0,56400.0
296238670.0,-823381715.0,56500.0
296238670.0,-823381715.0,56600.0
296238670.0,-823381715.0,56700.0
296238670.0,-823381715.0,56800.0
296238672.0,-823381716.0,56900.0
296238672.0,-823381716.0,57000.0
296238672.0,-823381717.0,57100.0
296238672.0,-823381717.0,57200.0
296238672.0,-823381717.0,57300.0
296238673.0,-823381719.0,57400.0
296238673.0,-823381719.0,57500.0
296238673.0,-823381720.0,57600.0
296238673.0,-823381720.0,57700.0
296238673.0,-823381720.0,57800.0
296238674.0,-823381719.0,57900.0
296238674.0,-823381719.0,58000.0
296238674.0,-823381719.0,58100.0
296238674.0,-823381719.0,58200.0
296238674.0,-823381719.0,58250.0
296238675.0,-823381721.0,58400.0
296238675.0,-823381721.0,58500.0
296238675.0,-823381721.0,58600.0
296238676.0,-823381721.0,58700.0
296238676.0,-823381721.0,58800.0
296238677.0,-823381723.0,58900.0
296238677.0,-823381723.0,59000.0
296238677.0,-823381723.0,59100.0
296238677.0,-823381724.0,59200.0
296238677.0,-823381724.0,59350.0
296238677.0,-823381724.0,59350.0
296238677.0,-823381725.0,59500.0
296238677.0,-823381725.0,59600.0
296238677.0,-823381725.0,59700.0
296238677.0,-823381725.0,59800.0
296238678.0,-823381725.0,59900.0
296238679.0,-823381725.0,100.0
296238679.0,-823381725.0,200.0
296238679.0,-823381725.0,300.0
296238679.0,-823381725.0,350.0
296238679.0,-823381726.0,500.0
296238679.0,-823381726.0,600.0
296238679.0,-823381726.0,700.0
296238679.0,-823381726.0,800.0
296238679.0,-823381726.0,900.0
296238681.0,-823381728.0,1000.0
296238681.0,-823381728.0,1100.0
296238681.0,-823381728.0,1200.0
296238681.0,-823381728.0,1300.0
296238681.0,-823381728.0,1400.0
296238684.0,-823381729.0,1500.0
296238684.0,-823381729.0,1600.0
296238684.0,-823381729.0,1700.0
296238684.0,-823381729.0,1800.0
296238685.0,-823381729.0,1900.0
296238686.0,-823381731.0,2000.0
296238686.0,-823381732.0,2100.0
296238687.0,-823381732.0,2200.0
296238687.0,-823381732.0,2300.0
296238687.0,-823381732.0,2400.0
296238688.0,-823381732.0,2500.0
296238689.0,-823381732.0,2600.0
296238689.0,-823381732.0,2750.0
296238689.0,-823381732.0,2800.0
296238689.0,-823381732.0,2900.0
296238690.0,-823381734.0,3050.0
296238691.0,-823381735.0,3200.0
296238691.0,-823381735.0,3300.0
296238691.0,-823381736.0,3400.0
296238692.0,-823381735.0,3500.0
296238692.0,-823381735.0,3550.0
296238692.0,-823381735.0,3650.0
296238693.0,-823381735.0,3800.0
296238693.0,-823381735.0,3900.0
296238694.0,-823381736.0,3950.0
296238694.0,-823381736.0,4100.0
296238694.0,-823381736.0,4150.0
296238694.0,-823381736.0,4300.0
296238694.0,-823381736.0,4400.0
296238695.0,-823381738.0,4450.0
296238696.0,-823381738.0,4600.0
296238696.0,-823381738.0,4700.0
296238696.0,-823381739.0,4800.0
296238696.0,-823381739.0,4850.0
296238696.0,-823381739.0,5000.0
296238696.0,-823381740.0,5100.0
296238696.0,-823381740.0,5200.0
296238696.0,-823381740.0,5250.0
296238696.0,-823381740.0,5400.0
296238697.0,-823381742.0,5500.0
296238697.0,-823381742.0,5600.0
296238697.0,-823381742.0,5700.0
296238697.0,-823381742.0,5800.0
296238697.0,-823381743.0,5900.0
296238698.0,-823381744.0,6000.0
296238699.0,-823381744.0,6100.0
296238699.0,-823381744.0,6150.0
296238699.0,-823381745.0,6300.0
296238699.0,-823381745.0,6400.0
296238700.0,-823381744.0,6500.0
296238700.0,-823381745.0,6600.0
296238700.0,-823381745.0,6700.0
296238700.0,-823381745.0,6800.0
296238700.0,-823381745.0,6900.0
296238700.0,-823381744.0,7000.0
296238700.0,-823381744.0,7100.0
296238700.0,-823381744.0,7250.0
296238700.0,-823381744.0,7300.0
296238700.0,-823381744.0,7400.0
296238701.0,-823381745.0,7500.0
296238701.0,-823381745.0,7700.0
296238701.0,-823381745.0,7800.0
296238702.0,-823381745.0,7900.0
296238702.0,-823381745.0,8000.0
296238702.0,-823381745.0,8100.0
296238703.0,-823381745.0,8200.0
296238703.0,-823381745.0,8300.0
296238703.0,-823381745.0,8400.0
296238703.0,-823381746.0,8500.0
296238703.0,-823381746.0,8550.0
296238703.0,-823381746.0,8700.0
296238703.0,-823381747.0,8800.0
296238703.0,-823381747.0,8900.0
296238704.0,-823381747.0,9000.0
296238704.0,-823381747.0,9100.0
296238704.0,-823381747.0,9200.0
296238704.0,-823381747.0,9300.0
296238704.0,-823381747.0,9400.0
296238704.0,-823381748.0,9500.0
296238704.0,-823381748.0,9600.0
296238704.0,-823381748.0,9650.0
296238705.0,-823381748.0,9800.0
296238705.0,-823381748.0,9900.0
296238705.0,-823381747.0,10000.0
296238705.0,-823381747.0,10100.0
296238705.0,-823381747.0,10200.0
296238705.0,-823381748.0,10300.0
296238706.0,-823381748.0,10400.0
296238705.0,-823381748.0,10500.0
296238705.0,-823381748.0,10600.0
296238705.0,-823381748.0,10700.0
296238705.0,-823381748.0,10800.0
296238706.0,-823381748.0,10900.0
296238704.0,-823381748.0,11000.0
296238705.0,-823381748.0,11100.0
296238705.0,-823381747.0,11250.0
296238705.0,-823381747.0,11300.0
296238704.0,-823381747.0,11400.0
296238704.0,-823381747.0,11500.0
296238704.0,-823381747.0,11600.0
296238704.0,-823381747.0,11700.0
296238704.0,-823381747.0,11800.0
296238703.0,-823381748.0,11900.0
296238703.0,-823381748.0,12000.0
296238703.0,-823381748.0,12100.0
296238703.0,-823381749.0,12250.0
296238703.0,-823381749.0,12300.0
296238703.0,-823381749.0,12400.0
296238702.0,-823381749.0,12500.0
296238702.0,-823381749.0,12600.0
296238702.0,-823381749.0,12700.0
296238703.0,-823381749.0,12800.0
296238703.0,-823381749.0,12900.0
296238702.0,-823381750.0,13000.0
296238702.0,-823381751.0,13100.0
296238702.0,-823381751.0,13200.0
296238702.0,-823381751.0,13300.0
296238702.0,-823381751.0,13400.0
296238701.0,-823381751.0,13500.0
296238701.0,-823381751.0,13600.0
296238701.0,-823381751.0,13700.0
296238701.0,-823381751.0,13800.0
296238701.0,-823381751.0,13900.0
296238700.0,-823381751.0,14000.0
296238700.0,-823381751.0,14100.0
296238700.0,-823381751.0,14200.0
296238701.0,-823381752.0,14350.0
296238699.0,-823381751.0,14400.0
296238699.0,-823381751.0,14500.0
296238699.0,-823381751.0,14600.0
296238699.0,-823381751.0,14700.0
296238699.0,-823381751.0,14800.0
296238699.0,-823381752.0,14900.0
296238698.0,-823381751.0,15000.0
296238698.0,-823381751.0,15100.0
296238698.0,-823381751.0,15200.0
296238698.0,-823381751.0,15300.0
296238698.0,-823381751.0,15400.0
296238698.0,-823381751.0,15500.0
296238698.0,-823381751.0,15600.0
296238698.0,-823381751.0,15700.0
296238699.0,-823381751.0,15800.0
296238699.0,-823381751.0,15900.0
296238696.0,-823381750.0,16000.0
296238696.0,-823381750.0,16100.0
296238696.0,-823381750.0,16200.0
296238696.0,-823381750.0,16350.0
296238696.0,-823381750.0,16400.0
296238696.0,-823381750.0,16500.0
